"ai_tool","user_type","experience_level","industry","primary_use_case","satisfaction_score","failure_reason"
"Stable Diffusion","Junior Dev","Advanced","Transportation","Translation",1.43,"Wrong output"
"Cohere","Teacher","Expert","Finance","Data Analysis",1.9,"Connection issues"
"Synthesia","Freelancer","Advanced","Retail","Translation",2.01,"Slow response"
"Falcon","Lawyer","Beginner","Tech","Customer Support",1.6,"Wrong output"
"Tesla Optimus","Government Worker","Intermediate","Finance","Content Writing",1.13,"Connection issues"
"DALL-E","Senior Developer","Expert","Finance","Marketing",1.64,"Low accuracy"
"Perplexity AI","Content Creator","Intermediate","Government","Design",1.65,"Wrong output"
"GitHub Copilot","Teacher","Beginner","Transportation","Research",1.93,"Wrong output"
"PyTorch","Product Manager","Intermediate","Retail","Research",2.05,"Slow response"
"Boston Dynamics AI","Marketer","Advanced","Healthcare","Coding",1.33,"Tool limitation"
"Copy.ai","Designer","Expert","Legal","Customer Support",2.42,"Wrong output"
"Deepgram","Teacher","Advanced","Manufacturing","Coding",1.36,"Low accuracy"
"Codeium","Marketer","Expert","Retail","Learning",2.42,"Tool limitation"
"Duolingo Max","Marketer","Expert","Education","Translation",2.51,"Low accuracy"
"Figma AI","DevOps Engineer","Intermediate","Education","Coding",1.21,"Tool limitation"
"Hugging Face","Business Owner","Advanced","Finance","Learning",2.52,"Slow response"
"Hugging Face","Business Owner","Intermediate","Healthcare","Data Analysis",1.97,"Slow response"
"GPT-4","Student","Expert","Agriculture","Translation",2.2,"Wrong output"
"Cohere","Student","Advanced","Media","Data Analysis",2.13,"Wrong output"
"PyTorch","Student","Advanced","Government","Coding",2.03,"Wrong output"
"Duolingo Max","Data Analyst","Expert","Healthcare","Video Creation",1.17,"Tool limitation"
"Mistral","DevOps Engineer","Intermediate","Retail","Content Writing",1.29,"Low accuracy"
"Deepgram","Government Worker","Advanced","Government","Marketing",1.5,"Low accuracy"
"Kensho","Freelancer","Advanced","Legal","Translation",2.22,"Slow response"
"PyTorch","Lawyer","Advanced","Government","Customer Support",1.76,"Connection issues"
"Claude","Student","Intermediate","Manufacturing","Marketing",2.21,"Low accuracy"
"Copy.ai","Designer","Advanced","Energy","Automation",2.36,"Wrong output"
"Qwen","Government Worker","Beginner","Education","Design",1.06,"Tool limitation"
"DataRobot","DevOps Engineer","Expert","Legal","Research",2.46,"Slow response"
"DataRobot","Lawyer","Beginner","Legal","Data Analysis",1.15,"Wrong output"
"HeyGen","Product Manager","Beginner","Agriculture","Video Creation",2.24,"Low accuracy"
"ElevenLabs","Content Creator","Beginner","Legal","Video Creation",2.04,"Connection issues"
"Grok","Marketer","Advanced","Energy","Coding",1.11,"Wrong output"
"Microsoft Copilot","Student","Advanced","Government","Video Creation",2.41,"Slow response"
"Copy.ai","Cybersecurity Analyst","Intermediate","Finance","Coding",1.86,"Wrong output"
"Grok","Teacher","Expert","Healthcare","Automation",1.82,"Low accuracy"
"GrammarlyGO","Teacher","Beginner","Education","Automation",1.31,"Connection issues"
"Runway ML","Data Analyst","Intermediate","Legal","Coding",1.03,"Wrong output"
"LangChain","Freelancer","Expert","Energy","Translation",1.76,"Wrong output"
"Tableau AI","Data Analyst","Intermediate","Healthcare","Video Creation",1.25,"Wrong output"
"Kensho","Marketer","Advanced","Manufacturing","Marketing",1.91,"Connection issues"
"Qwen","ML Engineer","Intermediate","Education","Translation",2.13,"Low accuracy"
"DataRobot","Startup Founder","Advanced","Agriculture","Content Writing",1.23,"Connection issues"
"ElevenLabs","Marketer","Intermediate","Healthcare","Customer Support",2.19,"Slow response"
"IBM Watson","Startup Founder","Intermediate","Government","Translation",2.13,"Slow response"
"AlphaFold","Senior Developer","Advanced","Tech","Marketing",1.38,"Connection issues"
"GPT-4","Marketer","Advanced","Media","Data Analysis",1.46,"Slow response"
"Jasper","Data Analyst","Expert","Manufacturing","Research",1.02,"Low accuracy"
"Stable Diffusion","Lawyer","Beginner","Energy","Coding",1.45,"Tool limitation"
"Notion AI","Business Owner","Advanced","Government","Data Analysis",2.47,"Connection issues"
"Falcon","Product Manager","Beginner","Energy","Video Creation",1.53,"Wrong output"
"Devin","DevOps Engineer","Beginner","Energy","Learning",2.15,"Slow response"
"GitHub Copilot","Senior Developer","Advanced","Healthcare","Content Writing",1.66,"Tool limitation"
"Tesla Optimus","Designer","Expert","Government","Marketing",1.12,"Low accuracy"
"GPT-4","Designer","Expert","Finance","Coding",1.2,"Connection issues"
"Hugging Face","Content Creator","Expert","Legal","Coding",2.41,"Slow response"
"Cursor AI","Content Creator","Intermediate","Finance","Coding",2,"Slow response"
"IBM Watson","Senior Developer","Expert","Healthcare","Customer Support",1.37,"Tool limitation"
"BloombergGPT","Freelancer","Advanced","Tech","Learning",1.82,"Low accuracy"
"Figma AI","Cybersecurity Analyst","Intermediate","Transportation","Marketing",1.34,"Tool limitation"
"Duolingo Max","ML Engineer","Advanced","Transportation","Research",1.95,"Connection issues"
"Boston Dynamics AI","Marketer","Intermediate","Education","Design",2.06,"Low accuracy"
"LLaMA","Freelancer","Beginner","Retail","Video Creation",2.45,"Low accuracy"
"Figma AI","Government Worker","Expert","Media","Customer Support",2.13,"Connection issues"
"Khanmigo","Startup Founder","Advanced","Tech","Learning",1.19,"Tool limitation"
"DataRobot","Freelancer","Advanced","Finance","Marketing",2.36,"Wrong output"
"Jasper","Lawyer","Beginner","Manufacturing","Customer Support",2.13,"Low accuracy"
"DeepSeek","Student","Advanced","Healthcare","Design",1.43,"Low accuracy"
"Elicit","Business Owner","Beginner","Education","Customer Support",2.09,"Tool limitation"
"Duolingo Max","Senior Developer","Beginner","Retail","Video Creation",1.41,"Low accuracy"
"Power BI Copilot","Non-Tech User","Expert","Government","Translation",1.26,"Wrong output"
"Microsoft Copilot","Product Manager","Intermediate","Tech","Customer Support",2.56,"Tool limitation"
"Devin","ML Engineer","Intermediate","Education","Content Writing",1.94,"Slow response"
"Boston Dynamics AI","Researcher","Intermediate","Manufacturing","Translation",2.54,"Low accuracy"
"DataRobot","Data Analyst","Expert","Healthcare","Learning",1.68,"Wrong output"
"Power BI Copilot","Non-Tech User","Beginner","Transportation","Coding",1.89,"Slow response"
"AutoGPT","Business Owner","Intermediate","Healthcare","Customer Support",1.85,"Tool limitation"
"PyTorch","Doctor","Advanced","Education","Coding",2.36,"Low accuracy"
"Qwen","Researcher","Advanced","Education","Data Analysis",2.58,"Slow response"
"Canva AI","Designer","Intermediate","Energy","Video Creation",2.08,"Wrong output"
"GPT-4","Product Manager","Expert","Retail","Translation",2.27,"Wrong output"
"DALL-E","Senior Developer","Beginner","Transportation","Content Writing",1.08,"Connection issues"
"Copy.ai","Business Owner","Beginner","Transportation","Design",1.96,"Slow response"
"Notion AI","Freelancer","Advanced","Energy","Customer Support",2.19,"Tool limitation"
"LangChain","Lawyer","Intermediate","Retail","Learning",2.3,"Slow response"
"Cursor AI","Product Manager","Intermediate","Legal","Customer Support",2.4,"Connection issues"
"GitHub Copilot","Startup Founder","Expert","Transportation","Learning",1.64,"Slow response"
"Power BI Copilot","Startup Founder","Advanced","Transportation","Data Analysis",2.24,"Low accuracy"
"Stable Diffusion","Teacher","Intermediate","Legal","Research",1.44,"Slow response"
"IBM Watson","Senior Developer","Intermediate","Finance","Customer Support",2,"Connection issues"
"Kensho","Startup Founder","Expert","Finance","Learning",2.19,"Tool limitation"
"Deepgram","Data Analyst","Advanced","Manufacturing","Design",1.72,"Connection issues"
"PyTorch","Business Owner","Beginner","Tech","Design",1.38,"Tool limitation"
"ElevenLabs","Teacher","Expert","Tech","Customer Support",1.23,"Tool limitation"
"Elicit","Researcher","Beginner","Legal","Customer Support",2.45,"Connection issues"
"Runway ML","Designer","Intermediate","Government","Design",1.69,"Slow response"
"TensorFlow","Data Analyst","Expert","Government","Automation",1.39,"Tool limitation"
"HeyGen","Cybersecurity Analyst","Advanced","Agriculture","Coding",1.16,"Connection issues"
"Perplexity AI","Doctor","Beginner","Transportation","Learning",1.74,"Wrong output"
"Hugging Face","DevOps Engineer","Expert","Education","Marketing",1.78,"Tool limitation"
"Elicit","Doctor","Intermediate","Manufacturing","Research",2.4,"Slow response"
"LangChain","Cybersecurity Analyst","Advanced","Finance","Research",1.58,"Connection issues"
"Grok","Doctor","Intermediate","Retail","Design",2.05,"Wrong output"
"Tableau AI","Content Creator","Intermediate","Government","Automation",1.53,"Tool limitation"
"Midjourney","Lawyer","Beginner","Transportation","Data Analysis",1.17,"Connection issues"
"BloombergGPT","Data Analyst","Beginner","Transportation","Automation",2.1,"Wrong output"
"Mistral","Doctor","Expert","Healthcare","Design",1.4,"Low accuracy"
"Cursor AI","Senior Developer","Intermediate","Agriculture","Marketing",1.49,"Slow response"
"Figma AI","Startup Founder","Advanced","Agriculture","Content Writing",1.66,"Tool limitation"
"LangChain","Freelancer","Expert","Transportation","Data Analysis",1.85,"Slow response"
"Duolingo Max","Senior Developer","Expert","Healthcare","Automation",1.28,"Wrong output"
"Midjourney","Doctor","Intermediate","Government","Learning",2.46,"Connection issues"
"Jasper","Teacher","Advanced","Transportation","Research",1.75,"Connection issues"
"Gemini","Researcher","Intermediate","Government","Content Writing",1.16,"Connection issues"
"BloombergGPT","Cybersecurity Analyst","Intermediate","Agriculture","Translation",2.44,"Tool limitation"
"Midjourney","Non-Tech User","Expert","Retail","Automation",2.3,"Connection issues"
"GPT-5","Content Creator","Intermediate","Energy","Translation",1.74,"Tool limitation"
"PyTorch","Cybersecurity Analyst","Intermediate","Energy","Data Analysis",1.03,"Tool limitation"
"GrammarlyGO","Doctor","Beginner","Education","Learning",1.6,"Wrong output"
"DeepSeek","ML Engineer","Advanced","Transportation","Coding",1.13,"Wrong output"
"Kensho","Designer","Beginner","Manufacturing","Automation",2.03,"Tool limitation"
"Elicit","Senior Developer","Intermediate","Healthcare","Customer Support",1.92,"Connection issues"
"Cursor AI","ML Engineer","Intermediate","Transportation","Automation",2.39,"Low accuracy"
"Tesla Optimus","Government Worker","Advanced","Finance","Learning",1.56,"Low accuracy"
"Grok","ML Engineer","Advanced","Manufacturing","Learning",1.57,"Tool limitation"
"GitHub Copilot","Non-Tech User","Advanced","Tech","Customer Support",1.9,"Wrong output"
"Synthesia","Content Creator","Beginner","Agriculture","Translation",1.91,"Slow response"
"Microsoft Copilot","Junior Dev","Advanced","Legal","Customer Support",1.24,"Low accuracy"
"Jasper","Business Owner","Advanced","Tech","Coding",1.24,"Low accuracy"
"GitHub Copilot","Product Manager","Intermediate","Media","Marketing",1.98,"Slow response"
"Khanmigo","Teacher","Intermediate","Retail","Customer Support",1.83,"Slow response"
"Tableau AI","Senior Developer","Intermediate","Tech","Data Analysis",1.37,"Low accuracy"
"DALL-E","DevOps Engineer","Intermediate","Finance","Data Analysis",2.52,"Wrong output"
"LLaMA","Non-Tech User","Beginner","Education","Research",2.13,"Low accuracy"
"Falcon","Data Analyst","Intermediate","Agriculture","Learning",2.32,"Low accuracy"
"Deepgram","Researcher","Intermediate","Finance","Coding",1.99,"Connection issues"
"AlphaFold","Doctor","Beginner","Tech","Customer Support",1.96,"Wrong output"
"Jasper","Non-Tech User","Expert","Energy","Video Creation",1.04,"Connection issues"
"Claude","Product Manager","Beginner","Retail","Coding",1.44,"Low accuracy"
"Whisper","Student","Advanced","Government","Translation",1.8,"Low accuracy"
"PyTorch","Content Creator","Expert","Legal","Coding",2.07,"Low accuracy"
"HeyGen","Designer","Expert","Healthcare","Research",1.04,"Connection issues"
"Cohere","Data Analyst","Intermediate","Retail","Marketing",1.11,"Slow response"
"Synthesia","Non-Tech User","Intermediate","Agriculture","Marketing",1.52,"Tool limitation"
"Codeium","Freelancer","Beginner","Finance","Design",1.25,"Connection issues"
"Mistral","Business Owner","Advanced","Agriculture","Customer Support",1.38,"Wrong output"
"DeepSeek","Non-Tech User","Expert","Legal","Data Analysis",1.39,"Low accuracy"
"LLaMA","Teacher","Advanced","Healthcare","Content Writing",1.39,"Low accuracy"
"Copy.ai","ML Engineer","Beginner","Legal","Customer Support",2.27,"Connection issues"
"Khanmigo","Product Manager","Beginner","Retail","Translation",2.23,"Wrong output"
"Jasper","Student","Advanced","Government","Translation",2.07,"Low accuracy"
"Whisper","Designer","Advanced","Media","Coding",2,"Connection issues"
"HeyGen","Researcher","Intermediate","Media","Video Creation",2.53,"Slow response"
"Tableau AI","Freelancer","Beginner","Government","Automation",2.01,"Wrong output"
"Mistral","Startup Founder","Intermediate","Government","Coding",2.08,"Low accuracy"
"GPT-4","Product Manager","Expert","Energy","Data Analysis",2.49,"Low accuracy"
"Grok","Non-Tech User","Advanced","Energy","Automation",2.11,"Low accuracy"
"Synthesia","Freelancer","Beginner","Government","Data Analysis",1.44,"Connection issues"
"Deepgram","Non-Tech User","Advanced","Legal","Customer Support",1.98,"Connection issues"
"Notion AI","Teacher","Expert","Legal","Video Creation",1.25,"Low accuracy"
"Qwen","Doctor","Expert","Transportation","Translation",2.05,"Connection issues"
"Perplexity AI","Senior Developer","Advanced","Healthcare","Video Creation",1.47,"Slow response"
"Tabnine","DevOps Engineer","Advanced","Healthcare","Video Creation",1.6,"Connection issues"
"LLaMA","Student","Intermediate","Transportation","Video Creation",1.39,"Connection issues"
"Boston Dynamics AI","Designer","Advanced","Transportation","Automation",1.79,"Low accuracy"
"Stable Diffusion","Doctor","Expert","Media","Learning",2.47,"Tool limitation"
"Runway ML","Startup Founder","Intermediate","Government","Coding",2.51,"Slow response"
"TensorFlow","Lawyer","Intermediate","Government","Coding",1.92,"Wrong output"
"GPT-5","Teacher","Expert","Finance","Learning",2.3,"Wrong output"
"Devin","Freelancer","Advanced","Tech","Data Analysis",1.18,"Connection issues"
"TensorFlow","Government Worker","Intermediate","Government","Video Creation",1.18,"Slow response"
"Microsoft Copilot","Government Worker","Expert","Agriculture","Translation",2.12,"Wrong output"
"Runway ML","Government Worker","Advanced","Education","Coding",1.39,"Tool limitation"
"Codeium","Lawyer","Expert","Agriculture","Content Writing",1.88,"Connection issues"
"GrammarlyGO","ML Engineer","Beginner","Agriculture","Automation",1.88,"Wrong output"
"Figma AI","DevOps Engineer","Intermediate","Agriculture","Marketing",1.46,"Slow response"
"Hugging Face","Content Creator","Intermediate","Energy","Coding",1.76,"Tool limitation"
"GPT-5","Cybersecurity Analyst","Beginner","Media","Data Analysis",1.42,"Wrong output"
"DataRobot","Doctor","Beginner","Transportation","Data Analysis",1.35,"Connection issues"
"Qwen","Data Analyst","Expert","Transportation","Design",1.05,"Slow response"
"HeyGen","Product Manager","Intermediate","Transportation","Design",1.07,"Low accuracy"
"Boston Dynamics AI","Student","Beginner","Energy","Video Creation",2.2,"Tool limitation"
"Khanmigo","Student","Expert","Transportation","Translation",1.69,"Connection issues"
"Jasper","ML Engineer","Intermediate","Energy","Data Analysis",1.13,"Connection issues"
